African,North African Eggs
American,Beef Stew
American,Biscuits and Gravy
American,Brisket BBQ
American,Green Bean Casserole
American,Hamburgers
American,Mac and Cheese
American,Meatloaf
American,Roast Turkey
American,Sloppy Joes
American,Spicy Chili
American,Steak
Appetizers,Ham-and-Spinach Dip
Appetizers,Nachos
Bread,Olive Tomato and Rosemary Focaccia
Breakfast,Crab and Avocado Eggs Benedict
Breakfast,Omelette
Breakfast,Quiche
British,Chicken and Mushroom Pie
Chinese,Sesame Chicken
Dessert,Apple Crumble
Dessert,Bread and Butter Pudding
Dessert,Christmas Bombe
Dessert,Citrus-Glazed Pumpkin-Carrot Cake
English,Beef Wellington
French,Chocolate Tarts with Peanut Brittle
Italian,Brussel Sprouts with Pancetta
Italian,Chicken Parmesan
Italian,Eggplant Parmesan
Italian,Fettucine Alfredo
Italian,Lasagna
Italian,Pizza
Italian,Shrimp Scampi
Italian,Spaghetti and Meatballs
Jamaican,Jerk Chicken
Japanese,Teriyaki Salmon
Meat,Honey Glazed Ham
Meat,Roast Turkey with Lemon Parsley and Garlic
Meat,Slow Roasted Pork Belly
Meat,Slow-cooked Beef Short Ribs
Meat,Slow-cooked Fiery Lamb
Mediterranean,Roasted Squash Hummus
Mexican,Beef Tacos
Mexican,Kettle-Chip Nachos
Pasta,Spaghetti with Collard Greens and Lemon
Potatoes,Garlic-Thyme Mashed Potatoes
Potatoes,Roast Potatoes With Chilli and Turmeric
Poultry,Butter Chicken
Poultry,Spit-Roasted Chicken
Salad,Butter-Lettuce Salad with Egg and Potatoes
Salad,Buttermilk Chicken Caesar Salad
Salad,Chicken Feta and Pistachio Salad
Salad,Quinoa Salad
Salad,Spicy Beef Salad
Salad,Steak Salad with Snap Peas
Seafood,Fish Pie
Seafood,Pan-fried Scallops with Crunchy Apple Salad
Soups,Cream of Cauliflower Soup
Soups,Pumpkin Soup
Stews,Smoky Salmon-and-Potato Stew
Thai,Pad See Ew
Thai,Thai Pork Salad
Vegetarian,Asparagus with Lemon and Tarragon Hollandaise
Vegetarian,Cauliflower and Mushroom Roast
Vegetarian,Fried Brussels Sprouts
Vegetarian,Grapefruit and Vinegar-Roasted Beets with Salsa Verde
